Ticker,ret_1w,ret_1m,ret_2m_display,ret_3m,ret_6m,vol_6m,ret_2m,z_2m,recent_min_z_2m,recent_max_z_2m,recent_bull_cross,recent_bear_cross,ema_bullish,ema_bearish
ABB.NS,0.09286128845037722,0.03918322295805732,0.14034822104466316,0.05224923162894668,0.5167136528393073,0.3690967200669373,0.14034822104466316,0.8859842645641617,-0.7742792725192004,1.423163751053723,True,True,True,False
APLAPOLLO.NS,0.011450792432427637,-0.02778371483132791,-0.020192773944853637,-0.15126635642050368,-0.04492965392638326,0.3100194106437093,-0.020192773944853637,-0.25457323013153316,-0.872842130183645,-0.25457323013153316,True,True,True,False
AUBANK.NS,-0.03370900451623693,-0.028798276587764793,0.030082122990727767,0.005663271929677638,0.03225472031062515,0.33221106412837687,0.030082122990727767,-0.2217815937652894,-0.537647834430934,0.015362288156563158,True,True,False,True
ADANIENT.NS,-0.0019442288443479727,0.047492118702615604,0.17668585245360502,0.42747569598580526,0.4744961552799978,0.4138126971541225,0.17668585245360502,0.7113643611027396,0.6330207929430595,1.5070703243367156,True,True,True,False
ADANIGREEN.NS,-0.039015254338384264,0.026291266878410102,0.13108867344703756,0.3376421356195194,0.6460980086056223,0.4853240246330651,0.13108867344703756,0.19489841725612206,0.04385144184481252,0.4347539467749884,True,True,False,True
ADANIPORTS.NS,0.013502374036055587,0.006102517775786298,0.041690186975002375,0.16985553182911417,0.2925241676119861,0.33803096525196524,0.041690186975002375,-0.050162177730580015,-0.2916365672019257,0.24497814473946308,True,True,True,False
ABCAPITAL.NS,0.02454599321970896,0.08818833315973218,0.1584536412413733,0.19745310446222208,0.1658828011904574,0.37101127117711774,0.1584536412413733,0.8493836931421702,-0.3787230393686206,1.0750139056097325,False,False,True,False
AMBER.NS,-0.021126308354202816,-0.033844593738116324,0.08121143343499537,-0.04492199736858593,0.24025709869009848,0.4797639971113059,0.08121143343499537,0.3756714135098254,-1.4668944135983901,0.5312491640489968,True,True,False,True
ANGELONE.NS,-0.0349272802363747,-0.08990674925940734,-0.009538480318509568,0.008585005022357928,0.31964089342832214,0.4819275501789974,-0.009538480318509568,-0.26923623619923576,-0.27926563671430615,0.5247112437706714,True,True,False,True
APOLLOHOSP.NS,0.002921184203134697,0.05147535190529484,0.1049699820511234,0.1657960036567847,0.22088490733775568,0.19093612769216156,0.1049699820511234,1.061291101233741,0.8901758984724788,1.259413652383261,False,False,True,False
ASHOKLEY.NS,-0.008054642569336634,-0.01736244834112055,0.0021483095484895465,-0.12514209725092929,-0.1710285141178206,0.4364179402607063,0.0021483095484895465,-0.3443578593161948,-0.961039160062166,-0.1790610764371113,False,True,False,True
ASIANPAINT.NS,0.01946228789994331,-0.014819423120937203,0.03609628306106072,0.06977107839670782,-0.06717948387114148,0.26369531252229533,0.03609628306106072,0.031604032536140796,-0.2011151201574936,0.21175787045366318,True,True,True,False
ASTRAL.NS,0.041663581586998566,-0.08235523118515387,-0.019810193636650375,-0.11078298738435477,-0.016266961705987182,0.3392123378317337,-0.019810193636650375,-0.2412431672290833,-2.0145561941479437,-0.2412431672290833,True,True,True,False
DMART.NS,0.015245587681331774,-0.07261653217452202,-0.04068338634966362,-0.13671503321334466,0.038856568382217294,0.2761856052894814,-0.04068338634966362,-0.4452485042864005,-1.0477035118000118,-0.4452485042864005,False,True,False,True
AXISBANK.NS,-0.045081986577638844,-0.07342224865575675,0.006720996971976589,-0.07123348599556922,-0.003011132193442956,0.2884274979690842,0.006720996971976589,-0.1530869284652971,-0.1530869284652971,0.6644501368230642,False,True,False,True
BSE.NS,-0.03393359686471087,-0.08860254601715611,-0.13146543517229148,0.05569483145982046,0.29378531073446323,0.3949940865676763,-0.13146543517229148,-1.1952642154025839,-1.2021946241307357,-0.5611558629040394,False,True,False,True
BAJAJ-AUTO.NS,0.023362187684438318,0.03352871051062989,-0.0056391875746714115,0.061256758135264766,0.08891563742934894,0.25646623232069554,-0.0056391875746714115,-0.6037981021817893,-1.37984110550244,-0.012209314490045553,False,True,True,False
BAJFINANCE.NS,0.06218952623111096,0.11166559029113277,0.15827102096195,0.16502310124965947,0.12665959027594842,0.3304614303201344,0.15827102096195,1.7154351281128748,0.37474389228896565,1.7154351281128748,True,True,True,False
BAJAJFINSV.NS,0.016798643930188595,0.07414940056606012,0.07257334965346351,0.03823882930927858,-0.05499203319593493,0.2627185748211532,0.07257334965346351,1.4988606115010736,0.6292856611885785,1.9180889973220645,True,True,True,False
BAJAJHLDNG.NS,-0.0038146099561320312,-0.021635290812025865,-0.0021016431027894855,0.005583365421640396,-0.026377108770621716,0.2803298524265919,-0.0021016431027894855,0.5644937095892429,0.13479926501209114,1.306007976847997,True,True,False,True
BANDHANBNK.NS,0.004618303441658256,0.003556180047994406,0.08680722594014845,0.19038938921351511,0.4565809382294719,0.439839618443042,0.08680722594014845,0.40582147334629365,-0.7053359054648923,0.6667671317612115,True,True,True,False
BANKBARODA.NS,0.004460627808195783,-0.1186621323367334,-0.06014035886496605,-0.11853674837122297,-0.17939376503361015,0.3344091424201398,-0.06014035886496605,-0.9088891039230633,-1.5445417854763897,-0.4736287969395256,True,True,False,True
BANKINDIA.NS,0.03686481402926689,0.003616011140154418,0.05698072888485406,-0.008158529263005976,-0.0031173211081527707,0.3956000453937388,0.05698072888485406,0.1602004173224427,-0.6435149874854096,0.18681806982234725,True,True,True,False
BDL.NS,-0.003600013680128411,-0.07295767544851772,-0.02346993136236941,-0.07052131275575013,-0.16374387443555005,0.44339848347612215,-0.02346993136236941,0.38526669614181314,-0.3630059054535993,0.38526669614181314,False,True,False,True
BEL.NS,-0.00012196612973025545,-0.03947061687614217,-0.007863537614300586,-0.10381379361219145,-0.008822876725058437,0.27907160865178726,-0.007863537614300586,-0.23928924117031522,-1.0900874447001763,-0.23928924117031522,False,True,False,True
BHEL.NS,0.023273072638108516,-0.002534133691516116,0.011998026370505732,0.2692318938535989,0.5563924175096133,0.4019705639067148,0.011998026370505732,-0.39667950516558137,-0.8071485895630007,-0.0182444140643997,True,True,True,False
BHARTIARTL.NS,0.006145119759392026,0.01967760865873802,0.022835844108606285,0.05541414342723017,-0.03872909112997969,0.21436436587829502,0.022835844108606285,0.3791594651788499,-0.2295040678189159,1.4310409036466083,False,True,True,False
BIOCON.NS,0.006860279176180262,0.05968709456791532,0.01756407527509185,0.22629161053432334,0.1669758860235342,0.2681669661602111,0.01756407527509185,-0.20372149171004308,-0.20372149171004308,0.3721090002412974,True,True,True,False
BLUESTARCO.NS,-0.024853913387538618,0.02067973325555794,0.014719071331589229,-0.09857064646473002,-0.050412616379938546,0.3572419771421036,0.014719071331589229,0.1218860322829229,-1.1480187206454455,0.7083493723418063,True,True,True,False
BOSCHLTD.NS,-0.014230583695127863,0.01679313347431277,0.10969318490361113,0.08150304313310408,0.07822187046563789,0.3228427796383372,0.10969318490361113,0.5887245485542731,0.4114454414151591,0.8368097937174903,False,True,False,True
BRITANNIA.NS,0.03756979275101724,0.05524542829643897,0.02572738329123392,-0.03824561403508775,-0.07367353835755319,0.21040210726113368,0.02572738329123392,0.7234022772712759,-1.5157882618133096,0.7234022772712759,True,True,True,False
CGPOWER.NS,0.0010942715179904638,-0.05069008612879333,0.07219452163602424,0.14974231689204132,0.5729883310482422,0.39480943203540747,0.07219452163602424,0.09262867452187756,-0.12021341632970488,0.4433469821227741,True,True,False,True
CANBK.NS,0.014156185856034398,-0.04650821440571562,-0.0010967179619824075,-0.10662749239439084,-0.15471300677595512,0.3398662462176948,-0.0010967179619824075,-0.27347648190418955,-1.188126514363423,-0.09225638677615598,True,True,True,False
CDSL.NS,-0.04452220902060733,-0.003940760579174252,0.11456806436811773,-0.003940760579174252,-0.03873511853738654,0.3770829545048492,0.11456806436811773,1.5788784056115663,0.5168237912076759,2.3622229477164454,True,True,False,True
CHOLAFIN.NS,-0.007169038200324551,0.0386205406113016,0.1579432619382617,0.12075447276096707,0.033919269594092416,0.3780619096022936,0.1579432619382617,1.6753336381697024,0.49197972612500157,1.9850685201390046,True,True,False,True
CIPLA.NS,-0.0038940099304680675,0.059698141927005954,0.023579849946409492,0.165107767385116,-0.010909376133764637,0.23715868328699094,0.023579849946409492,0.393369641905321,0.017346276448986977,1.465768831711843,False,True,False,True
COALINDIA.NS,0.0015095074019300103,-0.04442718443450666,-0.059843059682854194,-0.02376910016977929,0.005479146730881013,0.25901659098699137,-0.059843059682854194,-1.3749645697076562,-1.8189089447239724,-1.3749645697076562,True,False,True,False
COFORGE.NS,-0.02639296187683282,0.02097994269627801,0.06539253225335528,0.15984785988401384,-0.12554872695346797,0.43643533898732123,0.06539253225335528,0.5136392167232263,0.5136392167232263,1.3302204987514663,False,True,False,True
COLPAL.NS,0.04191763489751299,0.047602288112571056,-0.042326349470775404,-0.016956363389502127,-0.006550552040526791,0.2828160454732509,-0.042326349470775404,-0.2252152774695509,-0.7447734526773429,-0.08712957888266226,True,True,True,False
CAMS.NS,0.001043757296924186,-0.06790988611566096,-0.016850363919370448,0.024024024024023927,0.07911392405063289,0.3387553985827024,-0.016850363919370448,-0.12793556850427512,-1.102288346119755,0.026845079089068302,False,True,False,True
CONCOR.NS,-0.0030416709288551003,0.04218334689238867,-0.02479420837316637,-0.018760591009870375,-0.04995170261548909,0.3039624827843025,-0.02479420837316637,0.23127651337995406,-1.6354167222798266,0.4046536709550228,True,True,True,False
CROMPTON.NS,-0.009961709208872072,-0.06121709756045646,-0.1108052702365091,-0.010795526035681124,0.022151862460557004,0.34145551399660146,-0.1108052702365091,-0.7863990603242235,-1.0989518001426528,-0.4048759708334736,False,True,False,True
CUMMINSIND.NS,0.01629198143260213,-0.04808184143222505,0.033984628206315426,0.07359194848103523,0.4035396273877567,0.33102272380092607,0.033984628206315426,-0.8284962507679225,-1.0830709316206348,-0.3285849606088418,True,True,True,False
DLF.NS,0.003276509296350927,0.07870300146367093,0.1548946314279056,0.12952715767557987,0.03257204112865342,0.35761511980181476,0.1548946314279056,2.1634520392356222,0.6366951541794084,2.4661701368323468,True,True,True,False
DABUR.NS,-0.019219716581655,0.006139329642303792,-0.055001082565244386,-0.03531810204298502,-0.18379462523133772,0.26386613026138556,-0.055001082565244386,-0.5431199276244981,-1.089449476013382,-0.5431199276244981,False,True,False,True
