Ticker,close,ret_1w,ret_1m,ret_3m,ret_6m,vol_6m,ema_3,ema_5,ema_8,ema_15,ema_20,ema_21,signal_3_8,spread_3_8_pct,signal_5_15,spread_5_15_pct,signal_5_20,spread_5_20_pct,signal_8_21,spread_8_21_pct,bullish_count,bearish_count,neutral_count,bullish_ratio,bearish_ratio,neutral_ratio,ensemble_score,avg_ema_spread_pct,upside_strength_pct,downside_strength_pct,Signal
ABB.NS,7255.0,0.06245881233067285,0.14967118294905313,0.470111448834853,0.417130579158121,0.301290218386325,7151.754488930134,7058.399369162085,6933.051883512837,6721.860006500758,6616.814456559904,6598.363653786321,1,3.154492553811461,1,5.006640458680467,1,6.673678331185395,1,5.072291363245229,4,0,0,1.0,0.0,0.0,1.0,4.976775676730638,4.976775676730638,0.0,Upside
APLAPOLLO.NS,2106.60009765625,0.0640468965051193,0.07173388232139177,0.08885106326500392,0.22121744791666664,0.2917952622732957,2106.8693659245137,2090.597396281066,2068.368868752362,2040.5079021076865,2035.008692725388,2034.6446765911196,1,1.861394152358109,1,2.45475619680966,1,2.731619955943798,1,1.657497869246849,4,0,0,1.0,0.0,0.0,1.0,2.176317043589604,2.176317043589604,0.0,Upside
AUBANK.NS,1037.9000244140625,0.060109327771666665,0.15060145027579397,0.06304096884011456,0.3432990256583004,0.3350429880371869,1014.6871607181682,1002.178514389601,986.5731737047565,962.617346762829,954.3827264359161,953.3177499095523,1,2.8496605992071267,1,4.109750126549416,1,5.008031540153213,1,3.4883881893901014,4,0,0,1.0,0.0,0.0,1.0,3.8639576138249643,3.8639576138249643,0.0,Upside
ADANIENT.NS,2226.0,0.04556129638327855,0.12686037129836625,0.033762108536615765,-0.11561382598331349,0.37895624044435394,2217.6220928459406,2194.3752299363987,2153.7509707834156,2088.3358838184777,2066.6246600977934,2063.89876345769,1,2.9655760080420146,1,5.077695927152792,1,6.181604831549814,1,4.353518152954083,4,0,0,1.0,0.0,0.0,1.0,4.644598729924676,4.644598729924676,0.0,Upside
ADANIGREEN.NS,1150.0,0.05946847089396923,0.32389336122323065,0.22955203117141498,0.10982441178461744,0.46921151169756403,1141.5679730784295,1125.4575358685008,1096.3802069902226,1039.7112866085135,1013.7727065704233,1009.7047546290615,1,4.12154157837783,1,8.247121134914991,1,11.01675243121365,1,8.584237319255106,4,0,0,1.0,0.0,0.0,1.0,7.992413115940394,7.992413115940394,0.0,Upside
ADANIPORTS.NS,1594.0999755859375,0.08790003580551331,0.16741118680771705,0.1147552276824737,0.11553532231346231,0.3160153768412931,1578.0384859458916,1558.1970497142534,1530.174798777379,1487.6068339721583,1472.5397162219888,1470.4809669902356,1,3.127988201528087,1,4.745219914969567,1,5.816979504772246,1,4.059476669686113,4,0,0,1.0,0.0,0.0,1.0,4.437416072739003,4.437416072739003,0.0,Upside
ABCAPITAL.NS,344.6000061035156,0.02118830534253391,0.08143735318418255,-0.03904071294545486,0.15637585940777066,0.3311828363114499,342.62374068027395,340.9204613162956,337.5999184610765,331.4984186630618,329.4835757588037,329.2514183711635,1,1.488099357991013,1,2.8422587025401347,1,3.4711549828098986,1,2.535600341894906,4,0,0,1.0,0.0,0.0,1.0,2.584278346308988,2.584278346308988,0.0,Upside
AMBER.NS,7858.5,0.09472731071950968,0.15941280613750375,0.28543387584853197,-0.04217197879212631,0.42015268440756526,7857.707978253722,7747.7605842586,7570.165882204099,7313.340176371689,7229.1477629177225,7217.448700260469,1,3.7983592502982777,1,5.940109408426775,1,7.173913694241074,1,4.88700642833666,4,0,0,1.0,0.0,0.0,1.0,5.449847195325697,5.449847195325697,0.0,Upside
AMBUJACEM.NS,456.25,0.03458049886621306,0.05078302024551751,-0.1697752525471804,-0.19047193146083452,0.30033803990648067,455.80113432968295,453.8995015565597,449.97231680404775,444.4595780690842,444.51599185806566,444.807729246593,1,1.2953724724744653,1,2.1239104641385786,1,2.1109498579052755,1,1.161083141743613,4,0,0,1.0,0.0,0.0,1.0,1.672828984065483,1.672828984065483,0.0,Upside
ANGELONE.NS,324.04998779296875,0.15542322493749539,0.4934555893021988,0.2831630505072864,0.3476252946834888,0.4639606287557167,318.39464699892403,311.02286223248086,300.53938275260504,282.5333567841534,274.40145624430363,273.1193517559325,1,5.941073041005374,1,10.083590048481451,1,13.345922608942962,1,10.039578235809476,4,0,0,1.0,0.0,0.0,1.0,9.852540983559816,9.852540983559816,0.0,Upside
APOLLOHOSP.NS,7744.0,0.030266746491053098,0.0325333333333333,0.06483327603987621,-0.0019332388194355232,0.19088488028557044,7693.65352817988,7656.020907964735,7610.4689972862,7554.787140975172,7537.829024121014,7535.28536559616,1,1.093027656026746,1,1.339994960817581,1,1.567983081939195,1,0.9977542726292254,4,0,0,1.0,0.0,0.0,1.0,1.2496899928531868,1.2496899928531868,0.0,Upside
ASHOKLEY.NS,176.61000061035156,0.026444281740782616,0.002839132403114064,-0.055005609955878,0.30426109883544195,0.3877825929862481,176.05052915115357,175.19459211479432,173.493861928101,171.780221827091,172.35069714683405,172.55351808638423,1,1.4736355480472696,1,1.9876387696949882,1,1.6500629327524052,1,0.5449577917304715,4,0,0,1.0,0.0,0.0,1.0,1.4140737605562836,1.4140737605562836,0.0,Upside
